Unnamed: 0,result,table,_time,_start,_stop,_measurement,dest_ip,protocol,source_ip,dns_rate,inter_arrival_time,label,request_rate,anomaly,reconstruction_error
48,_result,0,2025-06-04 00:59:50.660432+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,2.830021,0,0.35335426839588824,0,0.0006874038467699678
49,_result,0,2025-06-04 00:59:54.305521+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,3.645089,0,0.27434172389206407,0,0.0007332132948498624
50,_result,0,2025-06-04 00:59:54.353849+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.048328,0,20.69193842079126,0,0.0009261333511554047
51,_result,0,2025-06-04 00:59:58.707547+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,4.353698,0,0.22968979474460563,0,0.0008576135802087002
52,_result,0,2025-06-04 00:59:58.709966+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.002419,1,413.39396444811905,1,0.6227675941842431
53,_result,0,2025-06-04 00:59:58.712558+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,3,0.002592,1,385.8024691358024,1,0.5474302006653123
54,_result,0,2025-06-04 00:59:58.715279+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,4,0.002721,1,367.5119441381845,1,0.49990900762141444
55,_result,0,2025-06-04 00:59:58.716108+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,5,0.001,1,1000.0,1,3.480147889887773
56,_result,0,2025-06-04 00:59:58.716648+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,6,0.001,1,1000.0,1,3.480147889887773
57,_result,0,2025-06-04 01:00:00.764271+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,2.047623,0,0.48837115035336087,0,0.000738041506135958
58,_result,0,2025-06-04 01:00:04.741193+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,3.976922,0,0.25145074507370274,0,0.000781589729872895
59,_result,0,2025-06-04 01:00:04.745796+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.004603,1,217.2496198131653,1,0.18183051096839664
60,_result,0,2025-06-04 01:00:07.961909+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,3.216113,0,0.3109343483888781,0,0.0006962678228642173
61,_result,0,2025-06-04 01:00:07.963817+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.001908,1,524.1090146750524,1,0.9752198976795413
62,_result,0,2025-06-04 01:00:10.601046+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,2.637229,0,0.37918588033121126,0,0.0006914916555591571
63,_result,0,2025-06-04 01:00:11.332045+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.730999,0,1.367990927484169,0,0.0009801756715269096
64,_result,0,2025-06-04 01:00:12.360405+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,3,1.02836,0,0.97242210898907,0,0.0009204742110807526
65,_result,0,2025-06-04 01:00:33.206777+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,20.846372,0,0.047969977701635566,0,0.0004995532134140503
66,_result,0,2025-06-04 01:00:39.744346+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,6.537569,0,0.15296205669110335,0,0.0011920729547940077
67,_result,0,2025-06-04 01:00:39.747921+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.003575,1,279.72027972027973,1,0.30771082693809654
68,_result,0,2025-06-04 01:00:55.160842+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,15.412921,0,0.064880628402624,0,0.0002488123728774947
69,_result,0,2025-06-04 01:00:55.164077+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.003235,1,309.1190108191654,1,0.370299916782181
70,_result,0,2025-06-04 01:00:55.313981+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,3,0.149904,0,6.670936065748745,0,0.0008090783125587237
71,_result,0,2025-06-04 01:00:55.317715+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,4,0.003734,1,267.8093197643278,1,0.28422803434479454
72,_result,0,2025-06-04 01:00:57.459217+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,2.141502,0,0.46696197341865664,0,0.0007272961972025798
73,_result,0,2025-06-04 01:00:57.466230+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.007013,1,142.59232853272493,0,0.07164553033953283
74,_result,0,2025-06-04 01:01:03.602544+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,6.136314,0,0.16296428116292616,0,0.0012497739076611394
75,_result,0,2025-06-04 01:01:03.605303+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.002759,1,362.45016310257336,1,0.48720700142197515
76,_result,0,2025-06-04 01:01:12.354429+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,8.749126,0,0.11429713093627866,0,0.0007634171918881945
77,_result,0,2025-06-04 01:01:24.672766+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,12.318337,0,0.08117978912250899,0,0.0004100613878018598
78,_result,0,2025-06-04 01:01:26.716775+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,2.044009,0,0.48923463644240317,0,0.0007384794881213132
